BOGO,2015-09-12,01:00,2.3357240723627095
BOR1,2015-09-12,01:00,2.333766518681157
BPDL,2015-09-12,01:00,2.3201664081270255
BRSK,2015-09-12,01:00,2.332427061861686
BUZD,2015-09-12,01:00,2.295364723172855
BYDG,2015-09-12,01:00,2.330373022369808
CCHN,2015-09-12,01:00,2.32683541154248
CFRM,2015-09-12,01:00,2.274875383029432
CHEL,2015-09-12,01:00,2.3117167711558837
CHNO,2015-09-12,01:00,2.3349928108152405
CHOJ,2015-09-12,01:00,2.3113701529914676
CLIB,2015-09-12,01:00,2.2619487065254273
CPAR,2015-09-12,01:00,2.3017046729362183
DRES,2015-09-12,01:00,2.3156765093769622
DRWP,2015-09-12,01:00,2.320272600271201
DZIA,2015-09-12,01:00,2.31255694412808
ELBL,2015-09-12,01:00,2.3529714171416556
GANP,2015-09-12,01:00,2.1888278038272144
GDAN,2015-09-12,01:00,2.3511638919122495
GIZY,2015-09-12,01:00,2.331358668646404
GLOG,2015-09-12,01:00,2.3303631133293705
GNIE,2015-09-12,01:00,2.3203520691707147
GOLE,2015-09-12,01:00,2.3390337008722417
GOPE,2015-09-12,01:00,2.256118212071777
GRAJ,2015-09-12,01:00,2.3384452802769986
GRUD,2015-09-12,01:00,2.345342259525584
GWWL,2015-09-12,01:00,2.3364293154172926
HAJN,2015-09-12,01:00,2.330156239811575
HOZD,2015-09-12,01:00,2.288237109832587
HRUB,2015-09-12,01:00,2.3115318978172055
ILAW,2015-09-12,01:00,2.325820091251073
JLGR,2015-09-12,01:00,2.277919816004411
JOZ2,2015-09-12,01:00,2.3295015504398333
JOZE,2015-09-12,01:00,2.3256283255408974
KALI,2015-09-12,01:00,2.3363360314886354
KAM1,2015-09-12,01:00,2.3477107180221175
KATO,2015-09-12,01:00,2.2831744335971864
KEPN,2015-09-12,01:00,2.308727184990061
KLCE,2015-09-12,01:00,2.2776354700441606
KLDZ,2015-09-12,01:00,2.280631580761546
KLOB,2015-09-12,01:00,2.289127963631432
KONI,2015-09-12,01:00,2.3255543201588145
KOSC,2015-09-12,01:00,2.306946826726509
KOSZ,2015-09-12,01:00,2.338307010180445
KRA1,2015-09-12,01:00,2.2887972465071087
KRAW,2015-09-12,01:00,2.288797246507106
KROS,2015-09-12,01:00,2.289812921765608
KROT,2015-09-12,01:00,2.3179353952697745
KUTN,2015-09-12,01:00,2.324187906935712
LAMA,2015-09-12,01:00,2.323543581426042
LEGP,2015-09-12,01:00,2.324623294442198
LELO,2015-09-12,01:00,2.288958013856856
LESZ,2015-09-12,01:00,2.3233492115560734
LODZ,2015-09-12,01:00,2.2916926360439858
LOMZ,2015-09-12,01:00,2.333340069445272
LUBL,2015-09-12,01:00,2.3038814439467328
MIES,2015-09-12,01:00,2.330811752025772
MIMA,2015-09-12,01:00,2.315936287053108
MLCN,2015-09-12,01:00,2.298428163134294
MYSZ,2015-09-12,01:00,2.3290187212898066
NODW,2015-09-12,01:00,2.3383601035920156
NTML,2015-09-12,01:00,2.333354650061609
NWSC,2015-09-12,01:00,2.2841657939857076
NWT1,2015-09-12,01:00,2.2137121454068196
NYSA,2015-09-12,01:00,2.3081699496002255
OLST,2015-09-12,01:00,2.318486495367868
OPLE,2015-09-12,01:00,2.313867856363769
OPLU,2015-09-12,01:00,2.315334043716028
